transaction_id,customer_id,merchant_id,amount,payment_mode,status,transaction_time
5001,101,9001,1200.50,UPI,SUCCESS,2026-07-01 10:00:00
5002,102,9002,2500.00,CARD,SUCCESS,2026-07-01 10:05:00
5003,101,9003,800.00,WALLET,FAILED,2026-07-01 10:10:00
5004,103,9001,1500.00,UPI,SUCCESS,2026-07-01 10:20:00
5005,104,9004,7000.00,CARD,SUCCESS,2026-07-01 10:25:00
5006,105,9002,450.00,UPI,SUCCESS,2026-07-01 10:30:00
5007,106,9005,3200.00,WALLET,SUCCESS,2026-07-01 10:35:00
5008,107,9001,600.00,CARD,FAILED,2026-07-01 10:40:00
5009,108,9003,999.00,UPI,SUCCESS,2026-07-01 10:45:00
5010,109,9004,5400.00,CARD,SUCCESS,2026-07-01 10:50:00
5011,110,9005,1100.00,UPI,SUCCESS,2026-07-01 11:00:00
5012,101,9002,2200.00,CARD,SUCCESS,2026-07-01 11:10:00
5013,102,9001,500.00,UPI,SUCCESS,2026-07-01 11:20:00
5014,103,9004,1700.00,WALLET,FAILED,2026-07-01 11:25:00
5015,104,9003,4300.00,CARD,SUCCESS,2026-07-01 11:30:00
